link,base_link,id_votacion,tema,region
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=21130,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,21130,FINANCIAMIENTO REGIONAL,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=19362,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,19362,FINANCIAMIENTO REGIONAL,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=19312,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,19312,DESCENTRALIZACION,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=36972,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,36972,DESCENTRALIZACION,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=36674,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,36674,DESCENTRALIZACION,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=36666,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,36666,DESCENTRALIZACION,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=24507,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,24507,IMPUESTO TERRITORIAL,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=24506,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,24506,IMPUESTO TERRITORIAL,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=35174,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,35174,AGRICULTURA,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=37069,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,37069,AGRICULTURA,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=42173,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,42173,PATENTES MINERAS,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=42171,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,42171,PATENTES MINERAS,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=34925,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,34925,PESCA,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=20933,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,20933,DESCENTRALIZACION,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=35265,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,35265,INDIGENAS,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=43471,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,43471,ZONAS RURALES,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=33306,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,33306,ZONAS RURALES,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=29221,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,29221,ZONAS URBANAS,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=30032,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,30032,LEY DE PRESUPUESTOS,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=30033,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,30033,LEY DE PRESUPUESTOS,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=30031,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,30031,LEY DE PRESUPUESTOS,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=30030,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,30030,LEY DE PRESUPUESTOS,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=30029,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,30029,LEY DE PRESUPUESTOS,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=30028,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,30028,LEY DE PRESUPUESTOS,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=30026,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,30026,LEY DE PRESUPUESTOS,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=30025,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,30025,LEY DE PRESUPUESTOS,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=30022,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,30022,LEY DE PRESUPUESTOS,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=29923,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,29923,LEY DE PRESUPUESTOS,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=29922,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,29922,LEY DE PRESUPUESTOS,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=29917,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,29917,LEY DE PRESUPUESTOS,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=29916,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,29916,LEY DE PRESUPUESTOS,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=29915,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,29915,LEY DE PRESUPUESTOS,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=29914,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,29914,LEY DE PRESUPUESTOS,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=29908,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,29908,LEY DE PRESUPUESTOS,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=26618,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,26618,LEY DE PRESUPUESTOS,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=26617,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,26617,LEY DE PRESUPUESTOS,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=26616,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,26616,LEY DE PRESUPUESTOS,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=26615,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,26615,LEY DE PRESUPUESTOS,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=26614,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,26614,LEY DE PRESUPUESTOS,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=26613,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,26613,LEY DE PRESUPUESTOS,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=26612,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,26612,LEY DE PRESUPUESTOS,1
