nombreapellidos,partido,eleccion,year,url,nombres,apellido_paterno,apellido_materno,profesion,nacimiento,lugar_nacimiento,fallecimiento,religion,casado_dummy,cantidad_hijos,fecha_eleccion
LEONARDO ENRIQUE SOTO FERRADA,PS,diputados,2013,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Leonardo_Enrique_Soto_Ferrada,Leonardo Enrique,Soto,Ferrada,Abogado,15 de Mayo de 1966,San Bernardo,,,1,dos,17 de noviembre de 2013
JAIME ANDRES BELLOLIO AVARIA,UDI,diputados,2013,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Andrés_Bellolio_Avaria,Jaime Andrés,Bellolio,Avaria,Máster en Políticas Públicas,29 de Noviembre de 1980,Santiago,,,1,tres,17 de noviembre de 2013
JUAN ANTONIO COLOMA ALAMOS,UDI,diputados,2013,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Antonio_Coloma_Álamos,Juan Antonio,Coloma,Álamos,Magíster en Participación Ciudadana,14 de Marzo de 1980,Santiago,,,1,dos,17 de noviembre de 2013
DENISE SIMONE PASCAL ALLENDE,PS,diputados,2013,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Denise_Pascal_Allende,Denise Simone,Pascal,Allende,"Cientista Política,  Diseñadora Paisajista",19 de Julio de 1940,Valparaíso,,,1,dos,17 de noviembre de 2013
ISSA FARID KORT GARRIGA,UDI,diputados,2013,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Issa_Farid_Kort_Garriga,Issa Farid,Kort,Garriga,Historiador,09 de Mayo de 1980,Santiago,,,0,0,17 de noviembre de 2013
JUAN LUIS CASTRO GONZALEZ,PS,diputados,2013,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Luis_Castro_González,Juan Luis,Castro,González,Magíster en Administración de Instituciones de Salud,18 de Abril de 1960,Santiago,,Católico,0,tres,17 de noviembre de 2013
RICARDO ENRIQUE RINCON GONZALEZ,PDC,diputados,2013,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ricardo_Enrique_Rincón_González,Ricardo Enrique,Rincón,González,Abogado,22 de Marzo de 1967,Santiago,,,1,0,17 de noviembre de 2013
JAVIER IGNACIO MACAYA DANUS,UDI,diputados,2013,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Javier_Ignacio_Macaya_Danus,Javier Ignacio,Macaya,Danús,Magíster en Dirección y Gestión Tributaria,11 de Noviembre de 1979,Santiago,,,0,cuatro,17 de noviembre de 2013
SERGIO ESPEJO YAKSIC,PDC,diputados,2013,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Espejo_Yaksic,Sergio,Espejo,Yaksic,Magíster,15 de Marzo de 1967,Santiago,,,1,0,17 de noviembre de 2013
RAMON JOSE BARROS MONTERO,UDI,diputados,2013,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ramón_José_Barros_Montero,Ramón  José,Barros,Montero,Ingeniero Agrónomo,5 de Marzo de 1958,Santiago,,,0,0,17 de noviembre de 2013
